model,n,accuracy,f1_macro,f1_weighted,recall_cyst,precision_cyst,recall_glioma,precision_glioma,recall_granuloma,precision_granuloma,recall_meningioma,precision_meningioma,recall_ms,precision_ms,recall_pituitary_tumor,precision_pituitary_tumor,recall_stroke,precision_stroke,recall_tumor,precision_tumor,mean_conf,recall_germinoma,precision_germinoma,recall_medulloblastoma,precision_medulloblastoma,recall_schwannoma,precision_schwannoma,recall_cystadenoma,precision_cystadenoma,recall_cystic,precision_cystic,recall_cystic lesion,precision_cystic lesion,recall_mass,precision_mass,recall_normal,precision_normal,recall_tuberculoma,precision_tuberculoma
conservative,347,0.4582,0.1701,0.4116,,0.0,0.906,0.4344,,0.0,0.1234,0.4872,,0.0,0.4474,0.8095,,0.0,,0.0,0.8082,,,,,,,,,,,,,,,,,,
differential,485,0.3856,0.1432,0.3797,,,0.7358,0.3913,,,0.1627,0.4091,,0.0,0.2687,0.7963,,,,0.0,0.9241,,0.0,,0.0,,0.0,,,,,,,,,,,,
emergency,463,0.3844,0.1034,0.3116,,0.0,0.9038,0.3874,,0.0,0.1313,0.42,,,0.1088,0.6957,,0.0,,0.0,0.9022,,,,,,0.0,,0.0,,,,,,,,,,
radiologist,463,0.406,0.0828,0.393,,0.0,0.7391,0.4235,,0.0,0.2945,0.5161,,0.0,0.1511,0.6562,,,,0.0,0.9131,,,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
